boro,block,lot,bin,address_string
1,00001,0010,1086268,920 GOVERNORS ISLAND::920 GRESHAM ROAD::HALF MOON ROAD
1,00001,0010,1086270,929 CRAIG ROAD SOUTH::929 GOVERNORS ISLAND::GRESHAM ROAD
1,00001,0010,1086271,928 CRAIG ROAD SOUTH::928 GOVERNORS ISLAND::GRESHAM ROAD
1,00001,0010,1086276,932 CRAIG ROAD SOUTH::932 GOVERNORS ISLAND::513A WHEELER AVENUE
1,00001,0010,1086277,933 CRAIG ROAD SOUTH::933 GOVERNORS ISLAND
1,00001,0010,1086279,"903,903A - 903B CRAIG ROAD SOUTH::903,903A - 903B GOVERNORS ISLAND"
1,00001,0010,1086280,904 CRAIG ROAD SOUTH::904 GOVERNORS ISLAND
1,00001,0010,1086281,902 CRAIG ROAD SOUTH::902 GOVERNORS ISLAND::HALF MOON ROAD
1,00001,0010,1086282,915 CRAIG ROAD SOUTH::915 GOVERNORS ISLAND
1,00001,0010,1086283,908 CRAIG ROAD SOUTH::908 GOVERNORS ISLAND::HALF MOON ROAD
1,00001,0010,1086284,910 CRAIG ROAD SOUTH::910 GOVERNORS ISLAND::HALF MOON ROAD
1,00001,0010,1086286,931 CRAIG ROAD SOUTH::931 GOVERNORS ISLAND
1,00001,0010,1086288,691 GOVERNORS ISLAND::691 HALF MOON ROAD::CRAIG ROAD SOUTH
1,00001,0010,1086289,690 GOVERNORS ISLAND::690 HALF MOON ROAD
1,00001,0010,1086290,699 GOVERNORS ISLAND::699 HALF MOON ROAD::ENRIGHT ROAD
1,00001,0010,1086291,680 CRAIG ROAD SOUTH::680 GOVERNORS ISLAND::ENRIGHT ROAD::ICARUS ROAD::YEATON ROAD
1,00001,0010,1086292,660 CRAIG ROAD SOUTH::660 GOVERNORS ISLAND::ENRIGHT ROAD::ICARUS ROAD
1,00001,0010,1086293,662 CRAIG ROAD SOUTH::662 GOVERNORS ISLAND::ICARUS ROAD
1,00001,0010,1086294,658 CRAIG ROAD SOUTH::658 GOVERNORS ISLAND::ENRIGHT ROAD
1,00001,0010,1086295,656 CRAIG ROAD SOUTH::656 GOVERNORS ISLAND::ENRIGHT ROAD
1,00001,0010,1086296,654 CRAIG ROAD SOUTH::654 GOVERNORS ISLAND::ENRIGHT ROAD
1,00001,0010,1086297,652 CRAIG ROAD SOUTH::652 GOVERNORS ISLAND::ENRIGHT ROAD
1,00001,0010,1086298,632 CRAIG ROAD SOUTH::632 GOVERNORS ISLAND::ICARUS ROAD
1,00001,0010,1086299,634 CRAIG ROAD SOUTH::634 GOVERNORS ISLAND::513D WHEELER AVENUE::ICARUS ROAD
1,00001,0010,1086313,636 CRAIG ROAD SOUTH::636 GOVERNORS ISLAND
1,00001,0010,1086314,638 CRAIG ROAD SOUTH::638 GOVERNORS ISLAND
1,00001,0010,1086315,640 CRAIG ROAD SOUTH::640 GOVERNORS ISLAND
1,00001,0010,1086316,642 CRAIG ROAD SOUTH::642 GOVERNORS ISLAND
